    Dens   Wtype     ROC HalfROC     Seq  ROCpin  SiCell      iu      iv       t
      HD       0       4       1       4      40     166       9      16       0
      HD       0       4       1       5      41     144       8      16       0
      HD       0       4       1       6      42     143       8      15       0
      HD       0       4       1       7      43     124       7      15       0
      HD       0       4       1       8      44     165       9      15       0
      HD       0       4       1       9      45     104       6      13       0
      HD       0       4       1      10      46     142       8      14       0
      HD       0       4       1      11      47     123       7      14       0
      HD       0       4       1      12      48     122       7      13       0
      HD       0       4       1      13      49     105       6      14       0
      HD       0       4       1      14      50     103       6      12       0
      HD       0       4       1      15      51      85       5      12       0
      HD       0       4       1      16      52      86       5      13       0
      HD       0       4       1      17      53      69       4      12       0
      HD       0       4       1      18  CALIB1      88       5      14       1
      HD       0       4       1      19      54      54       3      12       0
      HD       0       4       1      20      55      41       2      13       0
      HD       0       4       1      21      56      25       1      12       0
      HD       0       4       1      22      57      40       2      12       0
      HD       0       4       1      23      58      70       4      13       0
      HD       0       4       1      24      59      55       3      13       0
      HD       0       4       1      25      60      87       5      14       0
      HD       0       4       1      26      61      71       4      14       0
      HD       0       4       1      27      62      56       3      14       0
      HD       0       4       1      28      63     145       8      17       0
      HD       0       4       1      29      64     106       6      15       0
      HD       0       4       1      30      65     125       7      16       0
      HD       0       4       1      31      66     107       6      16       0
      HD       0       4       1      32      67     126       7      17       0
      HD       0       4       1      33      68      90       5      16       0
      HD       0       4       1      34      69     108       6      17       0
      HD       0       4       1      35      70      89       5      15       0
      HD       0       4       1      36      71      72       4      15       0
      HD       0       5       0       0       0     256      13      16       0
      HD       0       5       0       1       1     232      12      15       0
      HD       0       5       0       2       2     281      14      17       0
      HD       0       5       0       3       3     257      13      17       0
      HD       0       5       0       4       4     233      12      16       0
      HD       0       5       0       5       5     209      11      15       0
      HD       0       5       0       6       6     186      10      15       0
      HD       0       5       0       7       7     234      12      17       0
      HD       0       5       0       8       8     210      11      16       0
      HD       0       5       0       9       9     141       8      13       0
      HD       0       5       0      10      10     185      10      14       0
      HD       0       5       0      11      11     164       9      14       0
      HD       0       5       0      12      12     121       7      12       0
      HD       0       5       0      13      13     207      11      14       0
      HD       0       5       0      14      14     163       9      13       0
      HD       0       5       0      15      15     140       8      12       0
      HD       0       5       0      16      16     184      10      13       0
      HD       0       5       0      17      17     162       9      12       0
      HD       0       5       0      18  CALIB0     208      11      14       1
      HD       0       5       0      19      18     183      10      12       0
      HD       0       5       0      20      19     231      12      14       0
      HD       0       5       0      21      20     205      11      12       0
      HD       0       5       0      22      21     206      11      13       0
      HD       0       5       0      23      22     229      12      12       0
      HD       0       5       0      24      23     253      13      13       0
      HD       0       5       0      25      24     230      12      13       0
      HD       0       5       0      26      25     254      13      14       0
